month_index,crop_biomass,pest_abundance,bird_abundance,bat_abundance,bee_abundance,soil_quality,producer_reduction_rate,pesticide_intensity,total_biomass_reduction,crop_cover,total_biomass_growth,carrying_capacity_growth,ecosystem_resilience,ecosystem_resistance
0,138.184,71.123,7.117,3.175,10.752,47.536,0.3554,0.9,0.32,0.2657,0.16,0.18,0.3592,0.352
1,235.198,107.368,8.182,3.174,12.339,50.13,0.3683,0.8782,0.2635,0.4523,0.5151,0.1891,0.3721,0.362
2,314.195,137.716,10.505,3.947,17.82,51.315,0.3568,0.8456,0.2637,0.6042,0.4922,0.1983,0.3827,0.3734
3,375.552,165.249,10.685,3.681,17.005,52.986,0.3458,0.8064,0.2807,0.7222,0.3572,0.2074,0.394,0.3855
4,396.446,181.34,12.042,4.416,20.938,55.019,0.3614,0.7663,0.2927,0.7624,0.2557,0.2166,0.406,0.3978
5,410.862,170.487,11.905,5.333,19.129,57.343,0.3369,0.7314,0.2994,0.7901,0.1898,0.2257,0.4184,0.4094
6,348.254,147.476,10.555,4.449,19.813,54.769,0.3347,0.7062,0.3172,0.6697,0.0497,0.2349,0.4227,0.4198
7,280.861,95.985,10.26,4.885,18.65,56.045,0.3275,0.6932,0.3259,0.5401,0.02,0.244,0.4334,0.4288
8,204.251,74.591,9.321,3.498,17.156,57.964,0.3303,0.6916,0.3252,0.3928,0.02,0.2531,0.4452,0.4364
9,138.323,31.464,7.836,3.942,14.847,61.469,0.3348,0.698,0.3215,0.266,0.02,0.2623,0.4596,0.4431
10,106.435,29.956,7.602,4.347,15.886,58.58,0.3104,0.707,0.3046,0.2047,0.0476,0.2714,0.4633,0.4494
11,127.96,22.97,6.607,4.322,14.232,59.853,0.3148,0.7126,0.2652,0.2461,0.2888,0.2806,0.474,0.4562
12,180.685,64.246,8.707,4.656,15.717,55.776,0.3408,0.7094,0.2195,0.3475,0.55,0.2897,0.4758,0.464
13,260.353,85.515,10.29,5.848,19.229,56.956,0.305,0.6945,0.2155,0.5007,0.55,0.2989,0.4864,0.4732
14,325.865,133.011,12.048,6.921,23.406,59.2,0.3151,0.6677,0.2168,0.6267,0.5468,0.308,0.4987,0.4839
15,402.017,145.737,12.027,6.998,25.318,58.814,0.3067,0.6316,0.2328,0.7731,0.4184,0.3171,0.5066,0.4956
16,431.134,155.601,12.936,7.82,26.465,56.954,0.3051,0.5913,0.2454,0.8291,0.313,0.3263,0.5121,0.5079
17,448.798,144.254,13.344,7.711,26.721,57.342,0.2995,0.5528,0.2504,0.8631,0.2583,0.3354,0.5213,0.52
18,369.586,127.291,11.696,6.965,24.576,57.825,0.2914,0.5216,0.2716,0.7107,0.0954,0.3446,0.5307,0.5311
19,309.356,88.143,11.266,7.011,24.785,59.371,0.2967,0.5016,0.2716,0.5949,0.0734,0.3537,0.5418,0.541
20,205.759,52.6,8.32,7.194,21.609,59.886,0.293,0.4938,0.2775,0.3957,0.02,0.3629,0.5512,0.5493
21,153.361,29.113,9.192,5.911,20.175,60.528,0.2972,0.4962,0.2735,0.2949,0.02,0.372,0.5609,0.5565
22,117.129,19.414,7.723,5.942,21.558,62.768,0.3089,0.5045,0.2637,0.2252,0.062,0.3811,0.5732,0.5629
23,144.805,28.429,8.023,6.458,21.296,66.932,0.278,0.5127,0.1955,0.2785,0.4951,0.3903,0.5887,0.5693
24,211.604,48.279,9.617,6.279,22.498,63.589,0.2937,0.515,0.1715,0.4069,0.55,0.3994,0.5917,0.5765
25,268.999,72.265,10.848,7.828,26.205,65.83,0.2908,0.507,0.1758,0.5173,0.55,0.4086,0.604,0.5849
26,365.966,101.475,12.488,8.916,29.532,67.572,0.2733,0.4868,0.1646,0.7038,0.55,0.4177,0.6155,0.5947
27,431.924,127.159,12.345,9.238,30.789,69.845,0.256,0.4555,0.1851,0.8306,0.4784,0.4269,0.6278,0.6059
28,462.246,115.491,13.648,8.95,31.373,70.863,0.2657,0.4168,0.203,0.8889,0.3371,0.436,0.6381,0.618
29,444.071,112.226,15.012,8.812,32.493,70.166,0.2456,0.3765,0.2085,0.854,0.2789,0.4451,0.6455,0.6302
30,394.233,100.02,13.396,9.674,33.04,74.664,0.2555,0.3406,0.2152,0.7581,0.2127,0.4543,0.6616,0.642
31,320.954,64.354,11.774,9.585,29.444,74.242,0.2455,0.3139,0.2271,0.6172,0.1118,0.4634,0.6695,0.6526
32,241.436,50.402,11.499,9.465,29.18,73.586,0.258,0.2993,0.2244,0.4643,0.1087,0.4726,0.6769,0.6618
33,178.382,24.457,10.133,8.68,26.917,74.671,0.2484,0.2963,0.2255,0.343,0.0797,0.4817,0.6873,0.6696
34,155.394,14.837,10.293,8.101,27.143,75.026,0.2236,0.302,0.2038,0.2988,0.2029,0.4909,0.6965,0.6763
35,162.821,19.98,10.045,9.163,28.964,74.861,0.2446,0.311,0.1694,0.3131,0.4105,0.5,0.7048,0.6827
